,intercepto,Confiança_consumidor,Inadimplencia_PF,Desemprego,Juros_nao_rotativos_PF,SELIC,IBC-Br
0,1,164.42,5.36,8.0,1.95,0.82,98.06309
1,1,164.99,5.41,7.8,1.88,0.71,98.38205
2,1,163.05,5.51,7.7,1.78,0.74,99.62478
3,1,162.35,5.43,7.6,1.7,0.64,100.33945
4,1,160.56,5.42,7.5,1.72,0.68,100.51105
5,1,156.3,5.4,7.3,1.7,0.69,100.81136
6,1,158.29,5.41,7.1,1.71,0.54,100.41049
7,1,161.38,5.34,6.9,1.69,0.61,101.2612
8,1,159.69,5.21,6.8,1.65,0.55,101.10574
9,1,161.81,5.1,6.9,1.62,0.55,100.65859
10,1,160.55,5.04,7.2,1.64,0.6,101.5499
11,1,165.85,5.0,7.8,1.65,0.49,100.29752
12,1,159.96,4.95,8.0,1.62,0.55,101.3796
13,1,155.62,4.86,7.9,1.6,0.61,102.47335
14,1,145.97,4.9,7.6,1.59,0.6,102.61634
15,1,145.04,4.62,7.5,1.6,0.61,102.28408
16,1,136.73,4.57,7.4,1.65,0.72,102.66998
17,1,133.04,4.46,7.2,1.66,0.71,102.92891
18,1,136.74,4.45,7.0,1.68,0.71,103.41456
19,1,139.24,4.26,6.8,1.72,0.81,103.38675
20,1,138.01,4.16,6.5,1.71,0.72,103.67138
21,1,136.57,4.09,6.2,1.69,0.79,103.98092
22,1,131.74,4.05,6.5,1.76,0.85,104.10493
23,1,136.39,4.03,6.8,1.78,0.79,103.33983
24,1,125.78,4.08,7.2,1.79,0.77,103.23255
25,1,120.25,4.13,7.2,1.79,0.82,102.77838
26,1,109.48,4.19,7.0,1.79,0.87,102.39281
27,1,107.37,4.01,6.9,1.79,0.82,100.21911
28,1,109.55,4.08,7.0,1.81,0.95,101.02896
29,1,110.54,4.07,7.0,1.79,0.87,101.84135
30,1,118.92,3.97,6.8,1.76,0.91,102.43093
31,1,115.82,4.01,6.7,1.78,0.95,101.53761
32,1,115.99,3.87,6.6,1.76,0.84,101.70587
33,1,112.95,3.7,6.6,1.73,0.96,102.14826
34,1,112.69,3.78,6.9,1.8,0.94,101.21789
35,1,112.89,3.85,7.5,1.8,0.82,100.7847
36,1,106.86,3.71,8.0,1.81,1.04,100.49469
37,1,101.56,3.79,8.1,1.86,0.95,99.08075
38,1,91.77,3.89,8.2,1.87,0.99,98.45096
39,1,90.58,3.7,8.4,1.89,1.07,97.54178
40,1,84.55,3.81,8.6,1.93,1.18,96.38486
41,1,84.66,3.92,8.8,1.95,1.11,96.86689
42,1,85.53,3.99,9.0,1.94,1.11,96.15685
43,1,88.77,4.12,9.1,2.01,1.11,96.48884
44,1,85.55,4.24,9.1,1.98,1.06,95.57453
45,1,87.17,4.27,9.1,1.94,1.16,95.20894
46,1,89.04,4.34,9.6,1.97,1.06,94.66226
47,1,95.23,4.35,10.3,2.0,1.0,94.74393
48,1,89.31,4.3,11.0,2.03,1.16,94.09411
49,1,87.68,4.35,11.3,2.05,1.06,94.068
50,1,90.85,4.37,11.3,2.06,1.11,93.81383
51,1,98.05,4.1,11.4,2.04,1.16,94.04903
52,1,97.67,4.15,11.7,2.05,1.11,93.70009
53,1,100.05,4.17,11.9,2.04,1.22,93.41168
54,1,106.95,4.23,11.9,2.05,1.11,93.56455
55,1,105.98,4.23,11.9,2.05,1.05,93.12335
56,1,110.3,4.15,12.0,2.04,1.04,93.09519
57,1,110.73,4.0,12.1,2.03,1.12,92.76336
58,1,102.25,4.04,12.7,2.03,1.09,93.05591
59,1,113.8,4.06,13.3,1.98,0.87,94.62367
60,1,109.38,4.06,13.9,1.96,1.05,94.50972
61,1,109.01,4.09,13.7,1.89,0.79,94.60644
62,1,103.49,4.16,13.4,1.94,0.93,94.16546
63,1,100.06,3.91,13.1,1.89,0.81,94.97563
64,1,104.78,4.01,12.9,1.92,0.8,95.01986
65,1,101.48,3.99,12.7,1.88,0.8,94.70182
66,1,99.67,3.93,12.5,1.86,0.64,94.75708
67,1,102.81,3.93,12.3,1.88,0.64,94.93723
68,1,103.96,3.83,12.1,1.82,0.57,95.0345
69,1,109.46,3.58,11.9,1.76,0.54,96.23112
70,1,116.96,3.78,12.3,1.8,0.58,95.81567
71,1,120.57,3.76,12.7,1.83,0.47,95.53048
72,1,115.64,3.7,13.2,1.81,0.53,95.31633
73,1,109.94,3.68,13.0,1.81,0.52,95.98808
74,1,113.5,3.64,12.8,1.76,0.52,93.16104
75,1,104.0,3.52,12.6,1.76,0.52,95.72684
76,1,103.48,3.56,12.4,1.77,0.54,96.21743
77,1,104.38,3.55,12.2,1.78,0.57,96.78176
78,1,106.79,3.47,12.0,1.77,0.47,96.41957
79,1,107.91,3.43,11.8,1.79,0.54,96.63611
80,1,114.5,3.35,11.7,1.78,0.49,96.78641
81,1,127.8,3.3,11.7,1.71,0.49,97.06557
82,1,128.64,3.39,12.2,1.78,0.54,97.10749
83,1,139.39,3.35,12.5,1.8,0.49,96.48821
84,1,125.53,3.41,12.8,1.81,0.47,95.72091
85,1,121.71,3.41,12.6,1.83,0.52,95.67285
86,1,117.01,3.46,12.4,1.81,0.54,97.07555
87,1,107.38,3.4,12.1,1.81,0.47,96.73976
88,1,110.92,3.49,11.9,1.8,0.57,96.37548
89,1,114.58,3.53,11.9,1.81,0.5,96.64917
90,1,112.19,3.6,11.9,1.75,0.46,97.00754
91,1,111.82,3.58,11.7,1.67,0.48,98.06511
92,1,118.64,3.59,11.3,1.67,0.38,97.82829
93,1,121.26,3.56,11.1,1.62,0.37,97.59387
94,1,121.27,3.63,11.3,1.7,0.38,97.6733
95,1,131.79,3.72,11.7,1.72,0.29,97.79657
96,1,124.58,4.0,12.4,1.66,0.34,91.3612
97,1,111.97,4.13,12.7,1.58,0.28,83.03874
98,1,96.82,4.04,13.1,1.56,0.24,85.40683
99,1,100.43,3.67,13.6,1.5,0.21,89.37575
100,1,102.84,3.52,14.1,1.49,0.19,91.66985
101,1,102.62,3.35,14.8,1.45,0.16,93.56053
102,1,108.36,3.19,14.9,1.43,0.16,95.34074
103,1,107.61,3.11,14.6,1.49,0.16,97.29482
104,1,111.65,3.02,14.3,1.46,0.15,97.44269
105,1,111.71,2.89,14.2,1.44,0.16,97.68774
106,1,116.09,2.93,14.4,1.53,0.15,97.89283
107,1,116.23,2.97,14.6,1.55,0.13,98.78724
108,1,112.9,2.92,14.9,1.57,0.2,95.27117
109,1,104.95,2.95,14.8,1.59,0.21,96.32836
110,1,105.9,3.01,14.7,1.55,0.27,96.98365
111,1,107.32,2.91,14.2,1.56,0.31,96.79721
112,1,110.98,2.94,13.7,1.55,0.36,96.31464
113,1,111.99,2.96,13.2,1.59,0.43,97.07568
114,1,114.66,3.01,12.7,1.61,0.44,96.95969
115,1,109.37,2.99,12.1,1.7,0.49,97.48142
116,1,109.35,3.01,11.6,1.75,0.59,98.97262
117,1,112.0,3.05,11.1,1.81,0.77,99.35339
118,1,108.35,3.26,11.2,1.85,0.73,97.34401
119,1,104.05,3.38,11.2,1.84,0.76,98.43725
120,1,105.12,3.45,11.1,1.93,0.93,99.55981
121,1,104.35,3.54,10.5,1.94,0.83,99.51646
122,1,105.87,3.65,9.8,1.97,1.03,99.67415
123,1,103.6,3.57,9.3,1.99,1.02,99.6343
124,1,105.58,3.71,9.1,2.01,1.03,101.27684
125,1,106.76,3.78,8.9,2.01,1.17,101.07328
126,1,111.46,3.8,8.7,1.97,1.07,101.17973
127,1,114.23,3.89,8.3,2.03,1.02,101.46342
128,1,116.79,3.92,8.1,2.05,1.02,100.66227
129,1,122.84,3.94,7.9,2.0,1.12,100.58196
130,1,125.38,4.11,8.4,2.04,1.12,100.05178
131,1,128.78,4.16,8.6,2.02,0.92,103.00964
132,1,127.42,4.11,8.8,2.06,1.17,103.09341
133,1,125.1,4.26,8.5,2.11,0.92,104.1626
134,1,122.22,4.35,8.3,2.11,1.12,102.3642
135,1,125.27,4.25,8.0,2.09,1.07,102.50431
136,1,124.46,4.22,7.9,2.08,1.07,102.83357
137,1,131.02,4.12,7.8,2.04,1.14,102.45222
138,1,132.64,4.0,7.7,2.01,0.97,102.57885
139,1,132.75,3.97,7.6,1.99,1.0,102.87707
140,1,129.74,3.88,7.5,2.02,0.92,103.528
141,1,133.46,3.75,7.4,1.98,0.89,104.8991
142,1,133.25,3.76,7.6,1.96,0.97,104.53245
143,1,138.22,3.76,7.8,1.97,0.8,104.75961
144,1,132.52,3.71,7.9,2.0,0.83,104.7097
145,1,129.59,3.75,7.5,1.99,0.89,104.75682
146,1,126.46,3.82,7.1,2.0,0.83,105.70704
147,1,127.05,3.71,6.9,1.99,0.79,106.57623
148,1,127.78,3.78,6.8,2.01,0.91,106.88756
149,1,127.27,3.82,6.6,1.99,0.87,107.14396
150,1,123.23,3.83,6.4,1.98,0.84,107.99916
151,1,120.97,3.79,6.2,2.0,0.93,108.15356
152,1,123.93,3.75,6.1,2.03,0.79,107.98489
153,1,125.62,3.63,6.2,2.06,0.93,107.44467
154,1,123.51,3.89,6.5,2.12,1.01,108.06979
155,1,120.48,3.96,6.8,2.17,0.99,108.77346
156,1,115.21,4.03,7.0,2.2,0.96,110.09056
157,1,111.01,4.25,6.6,2.22,1.06,109.72323
158,1,111.73,4.36,6.2,2.2,1.14,109.00057
159,1,112.89,4.41,5.8,2.22,1.1,108.76683
160,1,108.94,4.66,5.6,2.2,1.28,108.27053
161,1,111.88,4.92,5.6,2.19,1.16,108.80021
162,1,110.2,4.89,5.6,2.18,1.22,108.63642
163,1,113.63,4.99,5.4,2.2,1.28,108.7159
164,1,118.65,5.12,5.2,2.27,1.05,109.27405
165,1,124.46,5.12,5.1,2.31,1.22,109.41762
166,1,127.39,5.38,5.4,2.33,1.16,110.05486
167,1,127.39,5.56,5.8,2.3,1.0,110.65892
168,1,125.87,5.4,6.1,2.33,1.21,110.51078
169,1,121.06,5.51,5.8,2.37,1.09,110.95732
170,1,120.55,5.62,5.6,2.34,1.07,111.03587
